,played_at,track_name,explicit,duration_ms,type,playlist_url
0,2017-06-24T18:57:25.899Z,People In Tha Middle,False,302138,playlist,https://open.spotify.com/user/1170891844/playlist/29XAftFCmwVBJ64ROX8gzA
1,2017-06-24T18:52:23.008Z,I Can Give,True,226426,playlist,https://open.spotify.com/user/1170891844/playlist/29XAftFCmwVBJ64ROX8gzA
2,2017-05-03T12:42:42.156Z,Loving You Baby,False,212312,playlist,
3,2017-06-10T09:29:39.470Z,All The Time,False,313107,playlist,https://open.spotify.com/user/1253842/playlist/5yb4olonApvaO9LlmQXS88
4,2017-06-27T00:24:42.441Z,Xenomorphic,False,318000,playlist,https://open.spotify.com/user/1247547868/playlist/7AvfjBMGuUC1ZCYn5nI4R4
5,2017-06-06T07:42:35.133Z,Gratitude - Original Mix,False,466285,playlist,https://open.spotify.com/user/snip3rwarface/playlist/0OEieW2vRqVZRraoFsw4Z4
6,2017-04-04T12:26:10.792Z,Let The Good Times Roll,False,175733,,
7,2017-06-24T18:22:51.015Z,Slim's Return,False,236306,playlist,https://open.spotify.com/user/1170891844/playlist/29XAftFCmwVBJ64ROX8gzA
8,2017-04-18T09:40:40.808Z,Be Thankful for What You Got (Pt. 1 & Pt. 2),False,429371,playlist,
9,2017-05-24T11:15:35.451Z,All that matters,False,456774,album,https://open.spotify.com/album/1kIMVFVdytbIFuBs6iMV12
10,2017-06-09T08:03:57.958Z,Pony,False,251733,,
11,2017-06-26T21:06:10.190Z,Ground Luminosity - Ott's New Yoghurt Loom Mix,False,511706,playlist,https://open.spotify.com/user/1247547868/playlist/7AvfjBMGuUC1ZCYn5nI4R4
12,2017-04-12T09:01:10.389Z,Modified - Original Mix,False,608040,album,
13,2017-05-13T19:54:37.832Z,A Hard Day's Night,False,266066,,
14,2017-04-11T21:13:10.410Z,"Sad Days, Lonely Nights - Solo Version",False,333200,album,
15,2017-05-21T13:24:09.875Z,Devil - Remix,False,559173,artist,
16,2017-04-05T07:22:03.749Z,Hoy Es Mañana (feat. The Caribbean Ravers),True,212693,album,
17,2017-05-13T20:19:29.051Z,Mad About The Boy,False,165653,,
18,2017-05-17T15:36:40.045Z,Give It Up,True,271426,playlist,
19,2017-04-14T11:51:02.445Z,No Condition Is Permanent,False,421173,playlist,
20,2017-05-28T15:07:51.346Z,Surfin On a Rainbow,False,290466,playlist,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX55dNU0PWnO5
21,2017-06-26T13:29:33.752Z,It's My House,False,274560,playlist,https://open.spotify.com/user/spotify/playlist/37i9dQZEVXcGxnwyDbJhDT
22,2017-05-28T12:05:14.924Z,Nobody Falls,False,263973,,
23,2017-05-22T21:19:27.091Z,Two Fish and an Elephant,False,213760,,
24,2017-05-13T20:23:45.726Z,A Night In Tunisia - 1998 Digital Remaster;The Rudy Van Gelder Edition,False,256800,,
25,2017-04-14T21:02:06.604Z,On a Little Street in Singapore - Remastered,False,164960,album,
26,2017-06-27T04:08:53.370Z,A Monkey,False,525040,playlist,https://open.spotify.com/user/1247547868/playlist/7AvfjBMGuUC1ZCYn5nI4R4
27,2017-04-21T20:47:46.183Z,Trouble,False,265468,playlist,
28,2017-05-22T13:41:45.860Z,Back To Black - Acapella / Album Medley,True,229240,playlist,
29,2017-04-14T11:40:14.884Z,Liquid Love,False,269455,playlist,
30,2017-05-09T21:40:55.676Z,Sycamore Girl,True,280333,playlist,
31,2017-06-21T09:12:08.790Z,"Build It Up, Tear It Down",False,305440,album,https://open.spotify.com/album/2ELLu16F9TTREQuU4OuAnN
32,2017-05-02T21:49:59.180Z,Love For Sale,False,424640,,
33,2017-05-22T20:13:10.587Z,"Do It, Fluid",False,326066,playlist,https://open.spotify.com/user/spotify/playlist/37i9dQZEVXcGxnwyDbJhDT
34,2017-05-08T15:18:39.609Z,They Don't Want,False,263721,playlist,
35,2017-05-18T19:43:52.549Z,Ride or Die,False,215760,,
36,2017-04-21T08:08:09.979Z,Fly Guy - Instrumental,False,378227,album,
37,2017-04-08T17:11:10.517Z,Phases - Radio Edit,False,224105,playlist,
38,2017-04-22T21:07:31.714Z,Flashy Moment,False,65457,playlist,
39,2017-05-12T09:56:43.907Z,Where or When,False,168666,,
40,2017-04-06T07:29:23.278Z,Light,False,239853,playlist,
41,2017-04-29T13:00:42.721Z,Bencalado,False,615772,playlist,
42,2017-05-22T19:08:10.976Z,I Can Give,True,226426,playlist,https://open.spotify.com/user/spotify/playlist/37i9dQZEVXcGxnwyDbJhDT
